id,lat,lng,group2
88,47.4,0.683333,N+K
108,48.5167,-4.06667,N+K
139,48.5167,-4.06667,N+K
159,47.35,3.93333,N+K
265,44.65,-1.16667,N+K
350,46.6667,4.11667,N+K
351,46.6667,4.11667,N+K
403,49.3667,16.2667,N+K
410,49.4211,16.3497,N+K
424,49.4112,16.2815,N+K
428,49.403,16.232,N+K
430,47.0,15.5,N+K
470,40.8313,-87.735,S+E
476,40.8313,-87.735,S+E
484,40.8313,-87.735,S+E
504,40.8313,-87.735,S+E
506,40.8313,-87.735,S+E
531,40.8313,-87.735,N+K
544,40.9076,-73.2089,S+E
546,40.9076,-73.2089,S+E
628,40.7777,-72.9069,N+K
630,40.7777,-72.9069,N+K
680,40.9447,-72.8615,S+E
681,40.9447,-72.8615,S+E
685,40.9064,-73.1493,S+E
687,40.9064,-73.1493,S+E
728,40.9352,-73.114,S+E
742,40.9352,-73.114,S+E
763,42.3,74.3667,S+E
765,42.1833,73.4,S+E
766,42.5833,73.6333,S+E
768,42.8,76.35,S+E
772,37.35,72.4667,S+E
801,37.9169,-84.4639,N+K
853,41.7976,-86.6691,S+E
854,41.7976,-86.6691,S+E
867,41.8266,-86.4366,S+E
868,41.8266,-86.4366,S+E
870,41.8266,-86.4366,S+E
915,41.8972,-71.4378,N+K
932,42.3634,-71.1445,N+K
991,55.3833,14.05,N+K
992,55.3833,14.05,N+K
997,55.3833,14.05,N+K
1002,55.3833,14.05,N+K
1006,55.3833,14.05,N+K
1061,55.7167,14.1333,N+K
1062,55.7167,14.1333,N+K
1063,55.7167,14.1333,N+K
1066,55.7167,14.1333,N+K
1070,55.7167,14.1333,S+E
1158,56.7,16.5167,N+K
1166,56.7,16.5167,N+K
1254,59.4333,17.0167,S+E
1257,59.4333,17.0167,S+E
1313,59.5667,16.8667,S+E
1317,59.5667,16.8667,S+E
1552,63.0833,18.3667,S+E
1612,41.9,-86.583,S+E
1622,41.9,-86.583,S+E
1651,43.3431,-86.4045,S+E
1652,43.3431,-86.4045,S+E
1676,41.879,-86.607,S+E
1684,41.879,-86.607,S+E
1739,42.405,-85.398,S+E
1741,42.405,-85.398,S+E
1756,42.184,-86.358,S+E
1757,42.184,-86.358,S+E
1793,41.847,-86.67,S+E
1797,41.847,-86.67,S+E
1819,41.8,-86.67,S+E
1820,41.8,-86.67,S+E
1829,42.051,-86.509,S+E
1834,42.051,-86.509,S+E
1835,42.051,-86.509,S+E
1851,43.595,-86.2657,S+E
1852,43.595,-86.2657,S+E
1853,43.595,-86.2657,N+K
1872,43.595,-86.2657,S+E
1890,43.5139,-86.1859,S+E
1925,43.5251,-86.1843,N+K
1942,43.5251,-86.1843,S+E
1943,43.5251,-86.1843,S+E
1954,43.5187,-86.1739,N+K
2016,43.5356,-86.1788,N+K
2017,43.5356,-86.1788,S+E
2031,42.166,-86.412,S+E
2053,42.166,-86.412,S+E
2057,42.166,-86.412,S+E
2081,43.2483,-86.3368,S+E
2091,43.2483,-86.3368,S+E
2106,43.2749,-86.0891,S+E
2108,43.2749,-86.0891,S+E
2141,43.2749,-86.0891,S+E
2159,42.148,-86.431,S+E
2166,42.148,-86.431,S+E
2171,42.148,-86.431,S+E
2191,43.7623,-86.3929,S+E
2202,43.7623,-86.3929,N+K
2212,43.7623,-86.3929,S+E
2239,42.184,-86.382,S+E
2240,42.184,-86.382,S+E
2276,43.665,-86.496,N+K
2278,43.665,-86.496,N+K
2285,43.665,-86.496,S+E
2286,43.665,-86.496,S+E
2317,42.03,-86.514,N+K
2370,41.865,-86.646,S+E
2412,41.865,-86.646,S+E
4779,50.4,-4.9,N+K
4807,50.4,-4.9,N+K
4826,50.4,-4.9,N+K
4840,50.4,-4.9,N+K
4857,50.3,-4.9,N+K
4884,50.3,-4.9,N+K
4900,50.3,-4.8,N+K
4939,50.4,-4.7,N+K
4958,50.5,-4.5,N+K
5023,51.3,0.5,N+K
5104,51.3,0.5,N+K
5151,52.2,-1.7,N+K
5165,51.3,0.4,N+K
5210,51.2,0.3,N+K
5236,51.2,0.4,N+K
5249,51.2,0.3,N+K
5253,51.1,0.6,N+K
5276,51.3,1.1,N+K
5279,51.3,1.1,N+K
5349,51.1,0.4,N+K
5353,54.5,-3.0,N+K
5395,54.4,-3.0,N+K
5486,54.6,-3.3,N+K
5577,54.7,-3.4,N+K
5644,54.4,-2.9,N+K
5651,54.4,-2.9,N+K
5717,54.6,-3.2,N+K
5718,57.0,-3.4,N+K
5720,53.3,-1.6,N+K
5726,51.3,1.1,N+K
5741,56.6,-4.1,N+K
5748,56.0,-4.4,N+K
5757,54.6,-2.3,N+K
5768,54.1,-1.5,N+K
5772,54.1,-2.3,S+E
5776,52.9,-1.3,N+K
5779,51.0,-3.1,N+K
5784,56.4,-5.2,N+K
5798,53.1,-3.3,N+K
5800,57.4,-5.5,N+K
5811,52.9,-3.1,N+K
5822,56.7333,-5.98333,N+K
5830,56.3333,15.9667,N+K
5831,56.3333,15.9667,N+K
5832,56.3333,15.9667,S+E
5836,55.86,13.51,N+K
5837,49.4013,16.2326,S+E
5856,63.0167,17.4914,S+E
5860,62.6814,18.0165,S+E
5865,55.76,14.12,N+K
5867,55.76,14.12,N+K
5874,49.4112,16.2815,S+E
5890,49.4112,16.2815,S+E
5893,49.4112,16.2815,N+K
5907,49.4112,16.2815,N+K
5921,49.4112,16.2815,N+K
5950,49.4112,16.2815,N+K
5984,49.4112,16.2815,N+K
5993,49.4112,16.2815,N+K
6008,49.1,16.2,S+E
6009,62.877,18.177,S+E
6010,62.877,18.177,S+E
6011,62.877,18.177,S+E
6012,62.877,18.177,S+E
6013,62.877,18.177,S+E
6016,62.9,18.4,S+E
6017,62.9,18.4,S+E
6019,56.06,14.29,N+K
6020,56.06,14.29,N+K
6021,56.06,14.29,N+K
6022,56.06,14.29,N+K
6023,55.7509,13.3712,N+K
6024,55.7509,13.3712,N+K
6025,62.6437,17.7339,N+K
6030,62.806,18.1896,S+E
6034,56.1,13.74,N+K
6035,56.1,13.74,N+K
6036,56.1,13.74,N+K
6038,56.1,13.74,N+K
6039,56.1,13.74,N+K
6040,55.66,13.4,N+K
6041,56.0328,14.775,N+K
6042,56.09,13.9,N+K
6043,62.801,18.079,S+E
6046,62.801,18.079,S+E
6064,62.9513,18.2763,S+E
6069,62.9513,18.2763,S+E
6070,62.9308,18.3448,S+E
6071,62.9308,18.3448,S+E
6073,56.1481,15.8155,N+K
6074,56.4573,16.1308,S+E
6076,55.6942,13.4504,N+K
6077,55.6942,13.4504,N+K
6085,55.7097,13.2145,S+E
6086,58.9,11.2,N+K
6087,56.4666,16.1284,N+K
6088,56.4666,16.1284,N+K
6090,55.6525,13.2197,N+K
6091,55.6525,13.215,N+K
6092,55.6514,13.2233,N+K
6094,55.6494,13.2147,N+K
6095,55.6486,13.2161,S+E
6096,55.6472,13.2225,S+E
6097,55.6481,13.2264,N+K
6098,55.6561,13.2178,N+K
6099,55.6575,13.2386,N+K
6100,55.6,13.2,S+E
6101,55.6,13.2,S+E
6102,55.6,13.2,S+E
6104,55.7,13.2,N+K
6105,55.7967,13.1211,N+K
6106,55.7931,13.1186,N+K
6107,55.7942,13.1222,N+K
6108,55.7989,13.1206,N+K
6109,55.7936,13.1233,S+E
6111,55.7989,13.1219,N+K
6112,55.7967,13.1044,N+K
6113,55.8078,13.1028,N+K
6114,55.8097,13.1342,N+K
